,Virus,Virus Sample,Host genome,Host Sample,Host Domain,Host Phylum,Host Class,Host Order,Host Family,Host Genus,Confidence score,Main method,Additional methods
48,BAr1A1B1C_vRhyme_unbinned_22,BAr1A1B1C,LASYr2D2E2F__bin_27,LASYr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,92.6,blast,iPHoP-RF;70.00
49,BAr1A1B1C_vRhyme_unbinned_22,BAr1A1B1C,MHr1A1B1C__bin_81,MHr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,92.6,blast,iPHoP-RF;69.30
50,BAr1A1B1C_vRhyme_unbinned_22,BAr1A1B1C,BAr2D2E2F__bin_57,BAr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,91.1,blast,iPHoP-RF;58.40
51,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,LASAr3G3H3I__bin_35,LASAr3G3H3I,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,97.1,iPHoP-RF,None
52,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,MGr1A1B1C__bin_59,MGr1A1B1C,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,96.7,iPHoP-RF,blast;92.10
53,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,LAWAr2D2E2F__bin_119,LAWAr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,96.4,iPHoP-RF,None
54,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,MHr1A1B1C__bin_21,MHr1A1B1C,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,96.4,iPHoP-RF,blast;91.90
55,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,BAr1A1B1C__bin_146,BAr1A1B1C,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,96.1,iPHoP-RF,None
56,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,BOr1A1B1C__bin_14,BOr1A1B1C,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,96.1,iPHoP-RF,None
57,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,CRr2D2E2F__bin_64,CRr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,96.1,iPHoP-RF,blast;91.40
58,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,SEr2D2E2F__bin_92,SEr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,96.1,iPHoP-RF,None
59,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,LASCr2D2E2F__bin_82,LASCr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,95.7,iPHoP-RF,None
60,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,LASYr2D2E2F__bin_38,LASYr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,95.7,iPHoP-RF,None
61,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,MGr2D2E2F__bin_61,MGr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,95.7,iPHoP-RF,blast;90.90
62,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,CRr1A1B1C__bin_73,CRr1A1B1C,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,95.4,iPHoP-RF,None
63,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,MHr1A1B1C__bin_41,MHr1A1B1C,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,95.4,iPHoP-RF,None
64,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,LAWAr2D2E2F__bin_10,LAWAr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,95.1,iPHoP-RF,blast;87.20
65,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,SEr3G3H3I__bin_276,SEr3G3H3I,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,95.1,iPHoP-RF,blast;85.30
66,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,CRr1A1B1C__bin_83,CRr1A1B1C,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,94.7,iPHoP-RF,None
67,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,GB_GCA_003164825.1,iPHoP_db,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,94.7,iPHoP-RF,None
68,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,MGr2D2E2F__bin_58,MGr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,94.7,iPHoP-RF,blast;84.10
69,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,RS_GCF_003315135.1,iPHoP_db,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,92.6,blast,iPHoP-RF;90.50
70,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,SEr2D2E2F__bin_6,SEr2D2E2F,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,91.0,blast,iPHoP-RF;76.60
71,BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,RS_GCF_009765995.1,iPHoP_db,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,90.4,blast,None
72,BAr1A1B1C_vRhyme_unbinned_24,BAr1A1B1C,MHr1A1B1C__bin_108,MHr1A1B1C,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465,93.0,blast,iPHoP-RF;73.50
73,BAr1A1B1C_vRhyme_unbinned_24,BAr1A1B1C,CRr3G3H3I__bin_36,CRr3G3H3I,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465,92.9,blast,iPHoP-RF;75.00
74,BAr1A1B1C_vRhyme_unbinned_24,BAr1A1B1C,CRr1A1B1C__bin_45,CRr1A1B1C,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465,92.7,blast,iPHoP-RF;73.70
75,BAr1A1B1C_vRhyme_unbinned_26,BAr1A1B1C,GB_GCA_003225555.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Sulfotelmatobacter,95.7,iPHoP-RF,None
76,BAr1A1B1C_vRhyme_unbinned_26,BAr1A1B1C,GB_GCA_020073465.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Sulfotelmatobacter,94.1,iPHoP-RF,None
77,BAr1A1B1C_vRhyme_unbinned_26,BAr1A1B1C,GB_GCA_003132325.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,91.1,blast,None
78,BAr1A1B1C_vRhyme_unbinned_26,BAr1A1B1C,GB_GCA_003225005.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Sulfotelmatobacter,90.8,blast,iPHoP-RF;77.30
79,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,SEr2D2E2F__bin_144,SEr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,96.1,iPHoP-RF,None
80,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,CRr2D2E2F__bin_75,CRr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,95.7,iPHoP-RF,blast;93.90
81,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,BAr1A1B1C__bin_10,BAr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,95.4,iPHoP-RF,blast;93.80
82,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,MGr3G3H3I__bin_55,MGr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,95.4,iPHoP-RF,blast;93.50
83,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,CRr1A1B1C__bin_118,CRr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,93.7,iPHoP-RF,blast;89.90
84,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,MHr1A1B1C__bin_81,MHr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,93.7,iPHoP-RF,None
85,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,LASYr2D2E2F__bin_27,LASYr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,93.4,iPHoP-RF,blast;89.80
86,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,GB_GCA_003139975.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,92.1,blast,iPHoP-RF;90.10
87,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,MHr1A1B1C__bin_101,MHr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,91.9,blast,iPHoP-RF;87.90
88,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,GB_GCA_003131315.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,91.7,blast,iPHoP-RF;63.30
89,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,BOr2D2E2F__bin_33,BOr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,91.4,iPHoP-RF,None
90,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,MHr2D2E2F__bin_7,MHr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.7,blast,iPHoP-RF;71.70
91,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,GB_GCA_020073215.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.6,blast,iPHoP-RF;68.60
92,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,LAWAr2D2E2F__bin_134,LAWAr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.6,blast,iPHoP-RF;77.30
93,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,BAr1A1B1C__bin_104,BAr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.5,blast,iPHoP-RF;67.50
94,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,BAr2D2E2F__bin_5,BAr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.5,blast,iPHoP-RF;70.60
95,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,CRr1A1B1C__bin_101,CRr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.5,blast,iPHoP-RF;87.90
96,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,CRr3G3H3I__bin_74,CRr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.5,blast,iPHoP-RF;89.80
97,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,GB_GCA_003132325.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.5,blast,iPHoP-RF;70.00
98,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,GB_GCA_016201265.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,QIAJ01,90.5,iPHoP-RF,None
99,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,LASAr3G3H3I__bin_113,LASAr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.5,blast,iPHoP-RF;59.80
100,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,MGr1A1B1C__bin_41,MGr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.5,blast,iPHoP-RF;61.10
101,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,MHr1A1B1C__bin_55,MHr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.5,blast,iPHoP-RF;79.50
102,BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,LASAr3G3H3I__bin_118,LASAr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209,90.3,blast,iPHoP-RF;89.80
103,BAr1A1B1C_vRhyme_unbinned_31,BAr1A1B1C,BOr2D2E2F__bin_44,BOr2D2E2F,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,92.6,blast,iPHoP-RF;63.50
104,BAr1A1B1C_vRhyme_unbinned_31,BAr1A1B1C,GB_GCA_002479255.1,iPHoP_db,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,92.1,blast,iPHoP-RF;71.30
105,BAr1A1B1C_vRhyme_unbinned_31,BAr1A1B1C,MHr2D2E2F__bin_126,MHr2D2E2F,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,92.0,blast,iPHoP-RF;69.10
106,BAr1A1B1C_vRhyme_unbinned_31,BAr1A1B1C,GB_GCA_003161515.1,iPHoP_db,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus,90.6,blast,iPHoP-RF;67.70
107,BAr1A1B1C_vRhyme_unbinned_32,BAr1A1B1C,LASYr2D2E2F__bin_4,LASYr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257,92.1,iPHoP-RF,None
108,BAr1A1B1C_vRhyme_unbinned_32,BAr1A1B1C,MGr3G3H3I__bin_1,MGr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Koribacteraceae,Bog-257,90.1,iPHoP-RF,None
109,BAr1A1B1C_vRhyme_unbinned_34,BAr1A1B1C,GB_GCA_003142185.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375,94.7,iPHoP-RF,None
110,BAr1A1B1C_vRhyme_unbinned_34,BAr1A1B1C,BAr2D2E2F__bin_10,BAr2D2E2F,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375,93.4,iPHoP-RF,None
111,BAr1A1B1C_vRhyme_unbinned_34,BAr1A1B1C,GB_GCA_003152325.1,iPHoP_db,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,PALSA-129,93.4,iPHoP-RF,None
112,BAr1A1B1C_vRhyme_unbinned_34,BAr1A1B1C,MGr1A1B1C__bin_54,MGr1A1B1C,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375,93.4,iPHoP-RF,None
113,BAr1A1B1C_vRhyme_unbinned_34,BAr1A1B1C,CRr3G3H3I__bin_95,CRr3G3H3I,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375,92.8,iPHoP-RF,None
