Genome,Sample,site,treatment,Genomad realm,Genomad kingdom,Genomad phylum,Genomad class,Genomad order,Genomad family,checkv_quality,lytic_state,Host Domain,Host Phylum,Host Class,Host Order,Host Family,Host Genus
BAr1A1B1C_vRhyme_unbinned_23,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus
BAr1A1B1C_vRhyme_unbinned_24,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465
BAr1A1B1C_vRhyme_unbinned_25,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_26,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Sulfotelmatobacter
BAr1A1B1C_vRhyme_unbinned_27,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_28,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209
BAr1A1B1C_vRhyme_unbinned_29,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_3,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_30,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_31,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Desulfobacterota_B,Binatia,Binatales,Binataceae,Binatus
BAr1A1B1C_vRhyme_unbinned_32,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_33,BAr1A1B1C,Balmoral,NAT,,,,,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_34,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
BAr1A1B1C_vRhyme_unbinned_35,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_36,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_37,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lysogenic_scaffold,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Fen-178
BAr1A1B1C_vRhyme_unbinned_38,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_39,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_4,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_40,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis
BAr1A1B1C_vRhyme_unbinned_41,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,
BAr1A1B1C_vRhyme_unbinned_42,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_43,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_44,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus
BAr1A1B1C_vRhyme_unbinned_45,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
BAr1A1B1C_vRhyme_unbinned_46,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_47,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_48,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_49,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_5,BAr1A1B1C,Balmoral,NAT,,,,,,,Not-determined,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_50,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,JAJPJX01
BAr1A1B1C_vRhyme_unbinned_51,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_52,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_53,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_54,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_55,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_56,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lysogenic_scaffold,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465
BAr1A1B1C_vRhyme_unbinned_57,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,PALSA-129
BAr1A1B1C_vRhyme_unbinned_58,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_59,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_6,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,Bacteria,Actinomycetota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Palsa-504
BAr1A1B1C_vRhyme_unbinned_60,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_61,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_62,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Desulfobacterota_G,Syntrophorhabdia,Syntrophorhabdales,WCHB1-27,BOG-1155
BAr1A1B1C_vRhyme_unbinned_63,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_64,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_65,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_66,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_67,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lysogenic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,BOG-931
BAr1A1B1C_vRhyme_unbinned_68,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Bog-1198
BAr1A1B1C_vRhyme_unbinned_69,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-744
BAr1A1B1C_vRhyme_unbinned_7,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_70,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_71,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_72,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_73,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Vilmaviridae,,Low-quality,lysogenic_scaffold,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-744
BAr1A1B1C_vRhyme_unbinned_74,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_75,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_76,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_77,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,,,,,,
BAr1A1B1C_vRhyme_unbinned_78,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus
BAr1A1B1C_vRhyme_unbinned_79,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,integrated_prophage,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Baekduia
BAr1A1B1C_vRhyme_unbinned_8,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,,,,,,
BAr1A1B1C_vRhyme_unbinned_80,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209
BAr1A1B1C_vRhyme_unbinned_81,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,,,,,,
BAr1A1B1C_vRhyme_unbinned_82,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-159
BAr1A1B1C_vRhyme_unbinned_83,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Medium-quality,integrated_prophage,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
BAr1A1B1C_vRhyme_unbinned_84,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209
BAr1A1B1C_vRhyme_unbinned_85,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,,,,,,
BAr1A1B1C_vRhyme_unbinned_86,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455
BAr1A1B1C_vRhyme_unbinned_87,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,,,,,,
BAr1A1B1C_vRhyme_unbinned_88,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Acidobacteriota,Terriglobia,Bryobacterales,Bryobacteraceae,Bog-375
BAr1A1B1C_vRhyme_unbinned_89,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Bog-1198
BAr1A1B1C_vRhyme_unbinned_9,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,lytic_scaffold,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
BAr1A1B1C_vRhyme_unbinned_90,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Not-determined,integrated_prophage,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,SbA1,Bog-209
BAr1A1B1C_vRhyme_unbinned_91,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus
BAr1A1B1C_vRhyme_unbinned_92,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhodomicrobiaceae,Rhodomicrobium
BAr1A1B1C_vRhyme_unbinned_93,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465
BAr1A1B1C_vRhyme_unbinned_94,BAr1A1B1C,Balmoral,NAT,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,,,Low-quality,integrated_prophage,,,,,,
